node_id,type,distance_to_root
2418,slab,14958.740746214773
2419,slab,14987.025017462234
2420,end,15036.014812317897
2421,slab,14587.037485294983
2422,slab,14607.037485294983
2423,slab,14627.037485294983
2424,slab,14661.67850144636
2425,slab,14696.319517597738
2426,branch,14728.708078363019
2427,slab,14772.900874647554
2428,slab,14801.185145895015
2429,slab,14835.826162046393
2430,slab,14880.547521596389
2431,end,14900.547521596389
2432,slab,17055.470172065376
2433,slab,17095.470172065376
2434,slab,17115.470172065376
2435,slab,17135.470172065376
2436,slab,17163.75444331284
2437,slab,17198.395459464216
2438,slab,17243.116819014213
2439,slab,17277.75783516559
2440,slab,17306.042106413053
2441,end,17326.042106413053
2442,slab,17006.378191902684
2443,slab,17069.62374510605
2444,slab,17118.613539961716
2445,slab,17146.89781120918
2446,slab,17181.538827360557
2447,slab,17209.82309860802
2448,slab,17229.82309860802
2449,branch,17262.2116593733
2450,slab,17324.670671881075
2451,end,17359.311688032452
2452,branch,16726.96577169565
2453,branch,16750.8865785765
2454,branch,16848.861617662977
2455,branch,16860.890346409047
2456,branch,16915.194205067954
2457,branch,16982.035108783075
2458,slab,17129.588235349252
2459,slab,17164.22925150063
2460,slab,17208.950611050626
2461,end,17237.23488229809
2462,branch,16308.120255987465
2463,slab,16459.768970520978
2464,slab,16494.409986672355
2465,slab,16529.051002823733
2466,branch,16557.335274071196
2467,slab,16613.90381656612
2468,slab,16648.544832717496
2469,slab,16705.11337521242
2470,slab,16749.834734762415
2471,end,16769.834734762415
2472,slab,15830.309076905784
2473,slab,15886.877619400708
2474,slab,15921.518635552085
2475,slab,15941.518635552085
2476,slab,15969.802906799547
2477,slab,15989.802906799547
2478,slab,16018.087178047008
2479,slab,16038.087178047008
2480,slab,16058.087178047008
2481,end,16092.728194198386
2482,slab,16592.29541678542
2483,slab,16612.29541678542
2484,branch,16647.29541678542
2485,slab,16696.5397057944
2486,slab,16716.5397057944
2487,slab,16744.823977041862
2488,slab,16764.823977041862
2489,slab,16799.46499319324
2490,slab,16819.46499319324
2491,end,16854.106009344618
2492,branch,14843.810965080002
2493,branch,14902.659664197461
2494,slab,14955.080469079248
2495,slab,14995.080469079248
2496,slab,15039.801828629244
2497,slab,15074.442844780622
2498,slab,15123.432639636285
2499,branch,15172.422434491948
2500,slab,15217.143794041944
2501,end,15245.428065289405
2502,branch,14879.651031981968
2503,slab,14975.983012292189
2504,slab,15035.983012292189
2505,slab,15092.551554787113
2506,slab,15120.835826034574
2507,slab,15155.476842185952
2508,slab,15175.476842185952
2509,slab,15195.476842185952
2510,slab,15215.476842185952
2511,end,15243.761113433413
2512,slab,14816.409858825655
2513,branch,14865.399653681317
2514,branch,14955.18476434281
2515,branch,15028.299339473195
2516,slab,15056.583610720656
2517,slab,15076.583610720656
2518,slab,15096.583610720656
2519,slab,15124.867881968117
2520,slab,15153.152153215578
2521,end,15173.152153215578
2522,branch,17622.374742656022
2523,branch,17659.252920485193
2524,branch,17721.862823855186
2525,slab,17808.5807574099
2526,slab,17848.5807574099
2527,slab,17888.5807574099
2528,slab,17933.302116959898
2529,slab,17989.87065945482
2530,end,18024.511675606198
2531,slab,15587.640252389494
2532,slab,15622.281268540872
2533,branch,15675.666659801029
2534,slab,15739.306270107818
2535,branch,15794.339492684698
2536,slab,15827.334865840587
2537,slab,15847.334865840587
2538,slab,15881.975881991964
2539,end,15910.260153239426
2540,slab,16735.96683038552
2541,slab,16764.251101632985
2542,slab,16798.892117784362
2543,slab,16818.892117784362
2544,slab,16847.176389031825
2545,slab,16867.176389031825
2546,slab,16887.176389031825
2547,slab,16921.817405183203
2548,end,16956.45842133458
2549,branch,16710.64094260232
2550,branch,16828.539203827837
2551,slab,16880.500728054903
2552,slab,16940.500728054903
2553,slab,16960.500728054903
2554,slab,16988.784999302366
2555,slab,17023.426015453744
2556,slab,17051.710286701207
2557,end,17086.351302852585
2558,slab,17124.821453677374
2559,slab,17224.821453677374
2560,slab,17307.283566189726
2561,slab,17356.27336104539
2562,slab,17396.27336104539
2563,slab,17416.27336104539
2564,branch,17453.965878866522
2565,slab,17508.9991014434
2566,end,17572.24465464677
2567,branch,16452.380632164462
2568,slab,16472.380632164462
2569,slab,16500.664903411925
2570,slab,16528.94917465939
2571,slab,16588.94917465939
2572,slab,16633.670534209385
2573,slab,16661.954805456848
2574,slab,16690.23907670431
2575,end,16718.523347951774
2576,slab,16802.684855035222
2577,slab,16837.3258711866
2578,slab,16857.3258711866
2579,slab,16877.3258711866
2580,slab,16897.3258711866
2581,slab,16925.610142434063
2582,slab,16945.610142434063
2583,slab,16973.894413681526
2584,end,17002.17868492899
2585,slab,16512.17831581808
2586,slab,16546.81933196946
2587,slab,16581.460348120836
2588,slab,16609.7446193683
2589,slab,16658.734414223964
2590,slab,16693.37543037534
2591,slab,16721.659701622804
2592,slab,16756.300717774182
2593,end,16776.300717774182
2594,branch,15485.636525273441
2595,branch,15515.599600248634
2596,slab,15693.879132782744
2597,slab,15738.60049233274
2598,slab,15758.60049233274
2599,slab,15778.60049233274
2600,slab,15813.241508484118
2601,slab,15833.241508484118
2602,end,15867.882524635495
2603,branch,16082.998692543528
2604,slab,16132.496167226585
2605,branch,16210.521987530325
2606,branch,16277.87354103187
2607,slab,16377.87354103187
2608,slab,16406.157812279333
2609,slab,16426.157812279333
2610,slab,16460.79882843071
2611,end,16480.79882843071
2612,slab,14224.512830444193
2613,slab,14244.512830444193
2614,slab,14264.512830444193
2615,slab,14309.23418999419
2616,slab,14369.23418999419
2617,slab,14397.51846124165
2618,slab,14432.159477393028
2619,slab,14452.159477393028
2620,end,14486.800493544406
2621,branch,14376.732469844554
2622,slab,14396.732469844554
2623,slab,14436.732469844554
2624,slab,14476.732469844554
2625,slab,14511.373485995931
2626,slab,14567.942028490856
2627,slab,14587.942028490856
2628,slab,14622.583044642233
2629,end,14650.867315889695
2630,slab,14845.318962180238
2631,slab,14890.040321730234
2632,slab,14910.040321730234
2633,slab,14930.040321730234
2634,slab,14958.324592977695
2635,slab,14986.608864225156
2636,slab,15014.893135472617
2637,slab,15049.534151623995
2638,end,15084.175167775373
2639,slab,2438.1125722698293
2640,slab,2482.833931819825
2641,slab,2522.833931819825
2642,slab,2551.118203067287
2643,slab,2620.400235370042
2644,slab,2689.682267672797
2645,slab,2717.966538920259
2646,slab,2787.248571223014
2647,end,2807.248571223014
2648,slab,18361.365112308813
2649,slab,18381.365112308813
2650,slab,18401.365112308813
2651,slab,18436.00612846019
2652,slab,18456.00612846019
2653,slab,18490.64714461157
2654,slab,18525.288160762946
2655,end,18553.57243201041
2656,slab,18276.643752758817
2657,slab,18304.92802400628
2658,slab,18333.212295253743
2659,slab,18353.212295253743
2660,slab,18373.212295253743
2661,slab,18393.212295253743
2662,slab,18421.496566501206
2663,end,18456.137582652584
2664,branch,17166.074115520514
2665,slab,17210.34600276287
2666,slab,17292.808115275224
2667,slab,17332.808115275224
2668,slab,17352.808115275224
2669,slab,17372.808115275224
2670,slab,17392.808115275224
2671,end,17412.808115275224
2672,branch,16158.494416023093
2673,slab,16244.959237272667
2674,slab,16293.94903212833
2675,branch,16368.782179863809
2676,slab,16403.423196015185
2677,slab,16452.41299087085
2678,slab,16501.402785726514
2679,end,16521.402785726514
2680,slab,17027.1075248587
2681,branch,17050.144589959236
2682,branch,17073.352492143305
2683,slab,17096.38955724384
2684,branch,17124.673828491304
2685,slab,17152.958099738767
2686,slab,17187.599115890145
2687,end,17215.88338713761
2688,slab,16993.40041273743
2689,slab,17028.041428888806
2690,slab,17048.041428888806
2691,slab,17082.682445040184
2692,branch,17118.737957794823
2693,slab,17176.183584260205
2694,slab,17216.183584260205
2695,end,17236.183584260205
2696,slab,17262.098892802802
2697,slab,17282.098892802802
2698,slab,17302.098892802802
2699,slab,17336.73990895418
2700,slab,17371.380925105557
2701,slab,17391.380925105557
2702,slab,17426.021941256935
2703,end,17460.662957408313
2704,slab,16595.87180792385
2705,branch,16693.94539478644
2706,slab,16761.368895437874
2707,slab,16806.09025498787
