segment_id,length,tortuosity,root_dist,strahler_index,radius_mean,radius_min,radius_max,volume
19,88.58689985167143,1.160729128301036,15794.339492684698,1,16.45729970932007,10.0,19.26059913635254,87734.69803456974
20,330.4251813548425,1.0578974839706714,2018.2446718149956,6,26.771766980489094,18.284299850463867,36.33489990234375,916837.5214196868
21,44.721359549995796,1.0000000066426002,2348.669853169838,6,18.284299850463867,18.284299850463867,18.284299850463867,46970.10567539791
22,94.56012094036805,1.0116531976300471,17630.04995584365,1,19.849300384521484,10.0,32.8286018371582,148903.5268984022
23,176.7911877517177,1.6247603644105784,17213.759994572203,1,22.96547508239746,10.0,37.140499114990234,497461.1637262137
24,291.9103350573505,1.0238650417484638,2393.3912127198337,6,28.455467224121094,18.284299850463867,34.72140121459961,905006.6085093436
25,98.60465482116481,1.0603260823980742,17709.685715537085,2,24.573099772135418,10.0,33.71929931640625,151804.74692908218
26,42.42640687119285,1.0000000002555316,17808.290370358252,1,30.0,30.0,30.0,119957.83929962286
27,116.5685424949238,1.0145989522758412,17353.530162141935,1,17.071074962615967,10.0,30.0,139184.95353758693
28,104.79848110321316,0.9999999647033739,16956.564913805665,2,48.480350494384766,46.96070098876953,50.0,774067.0726771307
29,88.93815419439719,1.019458119744271,17061.36339490888,1,22.320233662923176,10.0,46.96070098876953,185138.89609065765
30,129.2820323027551,1.0095230665249753,16199.380506403626,1,17.071074962615967,10.0,30.0,126457.48774055943
31,99.36237570137334,1.204945796042106,15978.399299259174,1,14.142149925231934,10.0,18.284299850463867,78211.46229110437
32,132.3155136217904,1.0988205213820192,17694.690248526207,1,22.071074962615967,10.0,30.0,274003.44990008813
33,121.2899020449196,1.1072202721000406,17312.85438553811,1,19.142149925231934,10.0,30.0,165508.77792567984
34,151.45190736801678,1.0709267075092708,17622.374742656022,1,27.071074962615967,10.0,50.0,372087.0026744597
35,106.88045221916853,1.0869195719732991,17539.755467488485,1,19.74874973297119,10.0,32.42639923095703,164047.62356713106
36,158.72475140274668,1.0605243913135205,17424.150512223372,1,17.071074962615967,10.0,30.0,200259.5433420771
37,110.05379532352389,1.0586739226141881,16608.87074098192,1,13.333324909210205,10.0,23.33329963684082,68101.67276765125
38,213.55742167152738,1.069932327899354,17482.370167979094,1,31.521900177001953,30.0,34.72140121459961,700541.455726534
39,126.17084060220704,1.0663382404070607,17006.197350843322,1,18.451775074005127,10.0,35.52280044555664,177896.2194027595
40,106.80746365949888,1.070766420771963,17039.386856110927,1,10.717124938964844,10.0,12.868499755859375,37887.18325494349
41,111.46159240780062,1.0372463017853213,16750.8865785765,1,21.798924922943115,10.0,48.911399841308594,228454.9308814969
42,112.29365863796824,1.0494276510415717,17210.888395323273,1,14.142149925231934,10.0,18.284299850463867,78445.2384223582
43,151.0775237613071,1.1012604686551188,15633.740945307512,1,17.071074962615967,10.0,30.0,166598.2770488747
44,108.49224414142338,1.072919223091688,17321.825915183344,1,17.98097515106201,10.0,25.355300903320312,133474.85081464087
45,80.04196168592641,1.0000000001999518,17000.62637520623,2,53.38075065612793,46.190101623535156,60.5713996887207,720868.1789453778
46,163.73559030476287,1.2504375010226048,17080.668336892155,1,36.97050094604492,30.0,46.190101623535156,659482.6628710327
47,94.64101615137756,1.1153550719354193,16440.048416375794,1,10.0,10.0,10.0,29732.35266063117
48,141.59501322090918,1.3429346195680274,17386.453154081617,1,23.99387502670288,17.691200256347656,30.0,261806.4463254009
49,219.08498969178638,1.2079235161406048,17093.927250436624,1,26.213200092315674,10.0,46.56850051879883,516449.4985821042
50,237.4486101492249,1.0993697937330953,17510.36844077373,1,33.90387535095215,10.0,85.6155014038086,1777338.515809584
51,112.85906541469294,1.031607204442981,16543.012892382594,1,14.166675090789795,10.0,26.66670036315918,81303.74581862908
52,220.45302400597637,1.2837973938471021,17295.849149613554,1,25.795724868774414,10.0,48.46149826049805,753231.7870623011
53,100.0,1.091089472050447,17289.265902047144,1,15.0,10.0,30.0,94247.77960769378
54,153.97278407305683,1.0675369216175756,16799.9732969934,1,20.22594976425171,10.0,42.61949920654297,333450.2907165919
55,150.10326626965292,1.0613903748464344,16744.196794211075,1,20.557899951934814,10.0,43.94729995727539,266236.9520955485
56,89.30196703084587,1.1047314289461114,16627.32376503491,1,10.450200080871582,10.0,11.800800323486328,30514.86148106904
57,129.4572934174797,1.059186325219041,16310.296484112405,1,17.857974529266357,10.0,33.14759826660156,210236.27894009178
58,105.55833735058737,1.2440169361741782,15150.939949064805,1,12.071074962615967,10.0,18.284299850463867,49432.999590217776
59,105.55833735058737,1.0350846354712204,17147.039786922167,1,15.0,10.0,30.0,84464.12404527943
